package	asset_base	namespace	text_key	offset	current	target	old_size	new_size	delta	encoding	repair_ok	repair_status
1	/NGR/Content/Data/DataTables/CombatGrowth/BuffGrowth/DT_BuffGrowth_DFY	/Game/Data/DataTables/CombatGrowth/BuffGrowth/DT_BuffGrowth_DFY	B7479CCE43B067256EF063813009543D	69392	强化普攻震流强度+#AddElecDamage#，每第#Count#次强化普攻，暴击效果+#CriDamageAdd#。	Every #Count# Enhanced Basic Attacks increase Quake Adeptness by #AddElecDamage# and Critical Damage by #CriDamageAdd#.	126	244	118	utf16		
1	/NGR/Content/Data/DataTables/CombatGrowth/BuffGrowth/DT_BuffGrowth_DreamMonster	/Game/Data/DataTables/CombatGrowth/BuffGrowth/DT_BuffGrowth_DreamMonster	C00E1B3E414BA56524865FA871037E85	9597	无法闪避、交互以及攻击	The target cannot be dodged, interacted with, or attacked.	28	122	94	utf16		
1	/NGR/Content/Data/DataTables/CombatGrowth/BuffGrowth/DT_BuffGrowth_DreamMonster	/Game/Data/DataTables/CombatGrowth/BuffGrowth/DT_BuffGrowth_DreamMonster	968AAB924F1AF0ABE979E88B1BCF4BE8	11081	无法闪避、交互以及攻击	The target cannot be dodged, interacted with, or attacked.	28	122	94	utf16		
1	/NGR/Content/Data/DataTables/CombatGrowth/BuffGrowth/DT_BuffGrowth_General	/Game/Data/DataTables/CombatGrowth/BuffGrowth/DT_BuffGrowth_General	41E92FD6482343215AC84B81D71C03DB	33342	持续恢复生命	Butterfly Spring	18	38	20	utf16		
1	/NGR/Content/Data/DataTables/CombatGrowth/BuffGrowth/DT_BuffGrowth_General	/Game/Data/DataTables/CombatGrowth/BuffGrowth/DT_BuffGrowth_General	433679CA485238A1972C239B74AFB04D	33461	在区域内，持续恢复生命值。	The Dream Energy in the spring can heal wounds.	32	100	68	utf16		
1	/NGR/Content/Data/DataTables/CombatGrowth/BuffGrowth/DT_BuffGrowth_General	/Game/Data/DataTables/CombatGrowth/BuffGrowth/DT_BuffGrowth_General	1FAD8DA84B79AA5B9831B98F8F584A48	49963	部位已被破坏，每层使敌人受到额外#damage#伤害。	One or more parts have been broken. Each stack causes the target to take #damage# more damage.	60	194	134	utf16		
1	/NGR/Content/Data/DataTables/CombatGrowth/BuffGrowth/DT_BuffGrowth_General	/Game/Data/DataTables/CombatGrowth/BuffGrowth/DT_BuffGrowth_General	49A28C344AD2B9ACBA72D1A3EEABE459	91663	倒计时结束会施放团灭技能	The doom is coming.	30	44	14	utf16		
1	/NGR/Content/Data/DataTables/CombatGrowth/BuffGrowth/DT_BuffGrowth_JL	/Game/Data/DataTables/CombatGrowth/BuffGrowth/DT_BuffGrowth_JL	1D464EED418D77A52F300D9D7B0C04FB	83071	处于<#FS1002_D_7>中时，自身额外提升10%<#攻击力>。	Attack increases by 15% inside Sphere of Purity.	74	102	28	utf16		
1	/NGR/Content/Data/DataTables/CombatGrowth/BuffGrowth/DT_BuffGrowth_Servant	/Game/Data/DataTables/CombatGrowth/BuffGrowth/DT_BuffGrowth_Servant	9CA6D31C4E6C1A3E1AAED5B4B657F912	2041	正在强化友方，可通过击破万法铸灵护盾打断。	Currently enhancing allies; can be interrupted by breaking the Manifold Sentinel's shield.	48	186	138	utf16		
1	/NGR/Content/Data/DataTables/CombatGrowth/BuffGrowth/DT_BuffGrowth_WZJ	/Game/Data/DataTables/CombatGrowth/BuffGrowth/DT_BuffGrowth_WZJ	FC5DF9AC46781F01EAF1658CC6F75686	51491	<#FS1007_D_4>状态持续时长提升至#TimePer#。	Frost Stained lasts #TimePer# of its normal duration. Ice attacks by you or your allies against Frost Stained enemies gain an additional #Cri# Critical Rate.	70	320	250	utf16		
