change_type	namespace	guid	row	old_source_hash	new_source_hash	old_text	new_text	old_zh_text	new_zh_text	old_status	new_status	old_model	new_model	source	reason
source_hash_replaced_same_key	/Game/Data/DataTables/BattleTutorial/DT_BattleTutorial_FeiHan	5B8F72D344036A4C07B849AC044E5CCB		0x6CF6C1BC	0x130FED2E	Cast the Ultimate 'Full-Power Rabbit' to counter an enemy's red-glow attack	Cast the Ultimate 'Full Rabbit Power' to counter enemy Red-Light Skills			translated	translated				
source_hash_replaced_same_key	/Game/Data/DataTables/BattleTutorial/DT_BattleTutorial_FeiHan	7583250A43A6F7FCC2457C90D52786F0		0xFD5D3060	0x055C0416	Flow Pulse: <ffe398>Frostbite</>: [br]<ffe398>Spirit Loop</> and <ffe398>Ice Cyclone</> can apply Frost Accumulation to enemies. Once full, it triggers an 8-second <ffe398>Frostbite Mark</>, causing continuous HP loss.	Flow Pulse · <ffe398>Frostbite</>: [br]<ffe398>Ice Whirlwind</> can apply a 15-second <ffe398>Frostbite Mark</> to enemies, causing them to lose HP continuously.			translated	translated				
source_hash_replaced_same_key	/Game/Data/DataTables/BattleTutorial/DT_BattleTutorial_FeiHan	95695A174872CEA7403F058778B40205		0xD2017EA9	0xADF8523B	Tutorial: Cast Ultimate to counter enemy red-light skills	Tutorial: Cast Ultimate to counter enemy red-light skills			translated	translated				
source_hash_replaced_same_key	/Game/Data/DataTables/BattleTutorial/DT_BattleTutorial_FeiHan	DB900FB5432D2B7858D847AB1F102309		0x41949294	0xCC801603	Tip: Cast Skill 1 (Snow Spirit Loop) and Ice Whirlwind to apply Condense Accumulation to enemies. Once full, trigger Flow Pulse effects	Tip: Cast Skill 1 to summon an Ice Whirlwind, which can trigger Flow Pulse effects			translated	translated				
source_hash_replaced_same_key	/Game/Data/DataTables/BattleTutorial/DT_BattleTutorial_FeiHan	FFC760D849C4669C7368468293ED2816		0x41FA820F	0x0DADA4F4	Trigger Flow Pulse: Frozen Feast 1 time	Trigger Flow Pulse · Frost Impact once			translated	translated				
source_hash_replaced_same_key	/Game/Data/DataTables/CombatGrowth/BuffGrowth/DT_BuffGrowth_FeiHan	362612924C1D9DDD261E5E952D53F8D5		0x4A929DE6	0xCA418C3F	"<Skill_HL2 ContentRow=""101809"">Ice Whirlwind</> damage increased by <Skill_Number>20%</>. When <Skill_HL2>Ice Whirlwind</> hits an enemy, your own All-round Adeptness is increased by <Skill_Number>12%</> for <Skill_Number>12</> seconds."	"<Skill_HL2 ContentRow=""101809"">Ice Cyclone</> damage increased by <Skill_Number>200%</>. When <Skill_HL2>Ice Cyclone</> hits an enemy, increase your own All-round Adeptness by <Skill_Number>12%</> for <Skill_Number>12</> seconds."			translated	translated				
added_only	/Game/Data/DataTables/CombatGrowth/BuffGrowth/Equipment/DT_BuffGrowth_Equipment_benzizhang	ED467FCE4B4769C5C916FE8DEEAC4884			0xCCAAB58E		After successfully parrying or neutralizing attacks <Skill_Number>2</> times within #time2# seconds, gain the [Immovable] effect, increasing Crit Rate by #crit# for #time1# seconds. (This effect can trigger at most <Skill_Number>1</> time every <Skill_Number>15</> seconds.)				translated				
source_hash_replaced_same_key	/Game/Data/DataTables/CombatGrowth/SkillGrowth/DT_SkillGrowth_FeiHan	405C293949327BBA87C2A7826E8505F2		0x6722B6A1	0xF1C5EF9E	"After the front-line resonance casts an Ultimate, it triggers the <Skill_HL2>Resonance Flow</> skill, entering the field alongside <Skill_HL2 ContentRow=""101810"">Dabai</> to jointly fire a <Skill_HL2>Frost Ray</>, dealing <IconSkill></> Flow damage."	"After casting an Ultimate, trigger <Skill_HL2>Flow Synergy</> to have <Skill_HL2 ContentRow=""101810"">Dabai</> enter the field and join you in firing <Skill_HL2>Frost Rays</> at enemies, dealing <IconSkill></> Flow Skill damage.
<Skill_HL2>Flow Synergy</> grants Super Armor and damage reduction while active."			translated	translated				
source_hash_replaced_same_key	/Game/Data/DataTables/CombatGrowth/SkillGrowth/DT_SkillGrowth_FeiHan	5C29F1E34E72C6A357E6F3B70B1F2F4B		0x4884D5F8	0x6824D24C	"The Rabbit Spirit transforms into the giant rabbit <Skill_HL2 ContentRow=""101810"">Da Bai</>, and slams into the ground, dealing <IconUltimate></> Ultimate Skill Damage and countering enemy <Skill_HL2>Red-Light Skills</>. Afterward, <Skill_HL2>Da Bai</> will automatically attack enemies for the next <Skill_Number>9</> seconds.
During this time, your <Skill_HL2 ContentRow=""101806"">Bunny Bullets</> are immediately restored to their maximum, and you will automatically cast Skill 2 <Skill_HL1>Bunny Barrage</> without consuming <Skill_HL2>Bunny Bullets</>, while also intermittently firing <Skill_HL2>Frost Rays</>."	"The Rabbit Spirit transforms into the giant rabbit <Skill_HL2 ContentRow=""101810"">Dabai</>, slamming into the ground to deal <IconUltimate></> Ultimate damage, capable of countering enemy <Skill_HL2>Red-Light Skills</>. Afterward, <Skill_HL2>Dabai</> will automatically attack enemies for the next <Skill_Number>9</> seconds.
During this period, your <Skill_HL2 ContentRow=""101806"">Rabbit Bullets</> are immediately restored to the cap and automatically fire the second skill <Skill_HL1>Rabbit Barrage</> without consuming <Skill_HL2>Rabbit Bullets</>, while also intermittently firing <Skill_HL2>Frost Rays</>.
While <Skill_HL2>Dabai</> is on the field, <Skill_HL1>Rabbit Barrage</> gains Super Armor and damage reduction."			translated	translated				
source_hash_replaced_same_key	/Game/Data/DataTables/CombatGrowth/SkillGrowth/DT_SkillGrowth_FeiHan	5D4B98F340F99FDB626A5AB44CDB9186		0x35127458	0xB04C2D66	"After triggering a <Skill_HL2>Perfect Dodge</>, your next basic attack is enhanced into <Skill_HL2>Frost Ray</>, dealing <IconCommonAttack></> basic attack damage and countering enemy <Skill_HL2>Red-Light Skills</>.
If a <Skill_HL2>Perfect Dodge</> is triggered during the Skill 2 <Skill_HL1>Rabbit Barrage</>, <Skill_HL2>Frost Ray</> will be fired automatically."	"After triggering a <Skill_HL2>Perfect Dodge</>, the next basic attack is enhanced into <Skill_HL2>Frost Ray</>, dealing <IconCommonAttack></> basic attack damage and countering the enemy's <Skill_HL2>Red-Light Skill</>.
If a <Skill_HL2>Perfect Dodge</> is triggered during the second skill <Skill_HL1>Bunny Barrage</>, it will automatically fire a <Skill_HL2>Frost Ray</>, dealing <IconSkill></> Flow skill damage."			translated	translated				
