change_type	namespace	guid	source_hash	row	zh_text	old_en_text	new_en_text	status	allow_new_namespace
added_entry	/Game/Data/DataTables/Appearance/DT_AppearanceActionBtn	73E94D244D4224C727B15492A1735617	430386037	29	赠送		Send Gift	translated	False
added_entry	/Game/Data/DataTables/BattleTutorial/DT_BattleTutorial_LongYa	FC6F5C2446DF1E82BEC1C28E816F8FD2	1772522170	302104	"流脉·熔火裂甲
[br]淬焰锻匠和另一上阵共鸣对破甲单位造成伤害时，使暴击率提升。"		"Flow Pulse: Molten Armor-Cracker
[br]When the Flame-Tempered Artisan and another deployed resonance unit deal damage to an armor-broken target, Critical Rate is increased."	translated	False
added_entry	/Game/Data/DataTables/CharacterMap/DT_CharacterMapConfig_RPVPResonancePick	D7E517094C4D60EA3D81BEBC60A81589	3963772976	1007602	王昭君繁光旧梦		Wang Zhaojun - Old Dreams of Radiant Light	translated	False
added_entry	/Game/Data/DataTables/CoinEnhancement/DT_EnhancementRewards	77CF57D0497F1E994F51BCB674FCE19D	3438361284	12	咒术典籍+		Spell Tome+	translated	False
added_entry	/Game/Data/DataTables/CoinEnhancement/DT_EnhancementRewards	7F1DD93A49A5E427E33EC98AEDF1A2BC	433172563	19	咒术典籍++		Spell Tome++	translated	False
added_entry	/Game/Data/DataTables/CoinEnhancement/DT_EnhancementRewards	CDD7428A4979090CFC69B89FDC93EEC6	3067737569	26	咒术典籍+++		Spell Tome+++	translated	False
added_entry	/Game/Data/DataTables/CoinEnhancement/DT_EnhancementRewards	3D8230664E68925527C496A55FDC6298	3834025242	28	狩猎宽刃+++		Hunter's Machete+++	translated	False
added_entry	/Game/Data/DataTables/CoinEnhancement/DT_EnhancementRewards	5148410842AE29BB32AAA88D6533D409	149717709	5	咒术典籍		Spell Tome	translated	False
added_entry	/Game/Data/DataTables/CoinEnhancement/DT_EnhancementRewards	D38BF7D64E6C270F7C25E880793F59F5	1025035091	55	[共流技] 学识宝石		[Flow Skill] Knowledge Gem	translated	False
added_entry	/Game/Data/DataTables/CoinEnhancement/DT_EnhancementRewards	D56F6918405DD81A82829EB2B528434A	2063874307	56	[共流技] 极影		[Flow Skill] Shadow Blade	translated	False
added_entry	/Game/Data/DataTables/CombatGrowth/BuffGrowth/DT_BuffGrowth_Mythic	27E2ABDB41C4AEC2295F61A74999A735	2790399270	1010430101_1	boss狂暴时间缩短<Skill_Number>30%</>		Boss enrage duration reduced by <Skill_Number>30%</>	translated	False
added_entry	/Game/Data/DataTables/CombatGrowth/BuffGrowth/DT_BuffGrowth_Mythic	4314F63647C6900E0EAC7F8735B99733	2790399270	10104301_1	boss狂暴时间缩短<Skill_Number>30%</>		Boss enrage duration reduced by <Skill_Number>30%</>	translated	False
