namespace	guid	source_hash	source_hash_hex	source	text	zh_text	source_text	row	reason	official_target_text	official_en_text	status	model	shared_source_count
/Game/Data/DataTables/Appearance/AppearanceClothing/DT_Appearance_Clothing_Hair	3AB75DD448D0286CFAB96EB55E4869CC	3302272014	0xC4D4AC0E	missing_in_ko_gemini	멋지고 고귀한 잎사귀, 왕만이 가진 독특한 향기가 난다.	帅气而尊贵的叶子，带有国王独有的味道。		1001400821	missing_in_ko			translated	gemini-3.1-flash-lite-preview	2
/Game/Data/DataTables/Appearance/AppearanceClothing/DT_Appearance_Clothing_Hair	4EA88A0E4CF8AD61030501BDE154BAD3	1271314998	0x4BC6BA36	missing_in_ko_gemini	임시 설명	临时描述		100140032	missing_in_ko			translated	gemini-3.1-flash-lite-preview	89
/Game/Data/DataTables/Appearance/AppearanceClothing/DT_Appearance_Clothing_Hair	6808DC4848BEE39FCD3FE2979F23F4F4	3779798797	0xE14B270D	missing_in_ko_gemini	라 왕의 머리 장식	萝国王缨子		1001400821	missing_in_ko			translated	gemini-3.1-flash-lite-preview	4
/Game/Data/DataTables/Appearance/AppearanceClothing/DT_Appearance_Clothing_Hair	8C4F8D0B4F16C8E6705004994EC9737F	3302272014	0xC4D4AC0E	missing_in_ko_gemini	멋지고 고귀한 잎사귀, 왕만이 가진 독특한 향기가 난다.	帅气而尊贵的叶子，带有国王独有的味道。		1001400822	missing_in_ko			translated	gemini-3.1-flash-lite-preview	2
/Game/Data/DataTables/Appearance/AppearanceClothing/DT_Appearance_Clothing_Hair	A676602143A4C4039F2C10A15372C47D	2168323905	0x813DFF41	missing_in_ko_gemini	라 왕비의 머리 장식	萝王后缨子		1001400811	missing_in_ko			translated	gemini-3.1-flash-lite-preview	4
/Game/Data/DataTables/Appearance/AppearanceClothing/DT_Appearance_Clothing_Hair	C55C14CA4FFA5FFA21B128AFB42262F8	3779798797	0xE14B270D	missing_in_ko_gemini	라 왕의 머리 장식	萝国王缨子		1001400822	missing_in_ko			translated	gemini-3.1-flash-lite-preview	4
/Game/Data/DataTables/Appearance/AppearanceClothing/DT_Appearance_Clothing_Hair	CD6AB64647BB895D021C4EB2EBD3F1D0	2190740777	0x82940D29	missing_in_ko_gemini	우아하게 빛나는 잎사귀, 왕비의 기품이 느껴진다.	优雅闪光的叶子，带有王后的气质。		1001400812	missing_in_ko			translated	gemini-3.1-flash-lite-preview	2
/Game/Data/DataTables/Appearance/AppearanceClothing/DT_Appearance_Clothing_Hair	E32C80F644FE1E97F0994E8415241573	2190740777	0x82940D29	missing_in_ko_gemini	우아하게 빛나는 잎사귀, 왕비의 기품이 느껴진다.	优雅闪光的叶子，带有王后的气质。		1001400811	missing_in_ko			translated	gemini-3.1-flash-lite-preview	2
/Game/Data/DataTables/Appearance/AppearanceClothing/DT_Appearance_Clothing_Hair	EEB9D2D14D80B9C2B1E230A39B92A033	2168323905	0x813DFF41	missing_in_ko_gemini	라 왕비의 머리 장식	萝王后缨子		1001400812	missing_in_ko			translated	gemini-3.1-flash-lite-preview	4
/Game/Data/DataTables/Appearance/AppearanceClothing/DT_Appearance_Clothing_Onesie	2AEA99344CFDCC30F4C7D792D82593DD	2010507745	0x77D5E9E1	missing_in_ko_gemini	국왕 무 껍질	国王萝卜皮		1011400822	missing_in_ko			translated	gemini-3.1-flash-lite-preview	4
/Game/Data/DataTables/Appearance/AppearanceClothing/DT_Appearance_Clothing_Onesie	526863F842AE8EBB460A9AA770772A69	291165636	0x115AD5C4	missing_in_ko_gemini	왕후 무 껍질	王后萝卜皮		1011400811	missing_in_ko			translated	gemini-3.1-flash-lite-preview	4
/Game/Data/DataTables/Appearance/AppearanceClothing/DT_Appearance_Clothing_Onesie	5A6C9AAC416DAA8CCCAE1AB1CF1C61DD	2928747777	0xAE912501	missing_in_ko_gemini	운천삼	云天衫		1011400172	missing_in_ko			translated	gemini-3.1-flash-lite-preview	2
/Game/Data/DataTables/Appearance/AppearanceClothing/DT_Appearance_Clothing_Onesie	AEA5C4C34281D6518373B5B19A5044EB	291165636	0x115AD5C4	missing_in_ko_gemini	왕후 무 껍질	王后萝卜皮		1011400812	missing_in_ko			translated	gemini-3.1-flash-lite-preview	4
/Game/Data/DataTables/Appearance/AppearanceClothing/DT_Appearance_Clothing_Onesie	DA01D77A477A66EC1C45089A27A60AB5	2928747777	0xAE912501	missing_in_ko_gemini	운천삼	云天衫		1011400171	missing_in_ko			translated	gemini-3.1-flash-lite-preview	2
/Game/Data/DataTables/Appearance/AppearanceClothing/DT_Appearance_Clothing_Onesie	E0A2DBDC4664F37DB1DD74B95F418BEE	2010507745	0x77D5E9E1	missing_in_ko_gemini	국왕 무 껍질	国王萝卜皮		1011400821	missing_in_ko			translated	gemini-3.1-flash-lite-preview	4
/Game/Data/DataTables/Appearance/AppearanceClothing/DT_Appearance_Clothing_Pants	12B7B1424ECB2F6D7D961FAA1D224E4C	2260140675	0x86B70283	missing_in_ko_gemini	가볍고 얇은 소재의 반바지로, 구름처럼 하얗고 단아하며 금색 무늬가 장식되어 있어 어디에나 잘 어울립니다.	用料轻薄的短裤，云白素雅，点缀有金色花纹，十分百搭。		1003400952	missing_in_ko			translated	gemini-3.1-flash-lite-preview	4
/Game/Data/DataTables/Appearance/AppearanceClothing/DT_Appearance_Clothing_Pants	234AD0BB4700406FC57AE699F38D3814	2260140675	0x86B70283	missing_in_ko_gemini	가볍고 얇은 소재의 반바지로, 구름처럼 하얗고 단아하며 금색 무늬가 장식되어 있어 어디에나 잘 어울립니다.	用料轻薄的短裤，云白素雅，点缀有金色花纹，十分百搭。		1003400951	missing_in_ko			translated	gemini-3.1-flash-lite-preview	4
/Game/Data/DataTables/Appearance/AppearanceClothing/DT_Appearance_Clothing_Pants	C325413148E80F5FBB1F68BBA2FDB083	1901643281	0x7158C611	missing_in_ko_gemini	경량 팬츠	轻游裤装		1003400951	missing_in_ko			translated	gemini-3.1-flash-lite-preview	4
/Game/Data/DataTables/Appearance/AppearanceClothing/DT_Appearance_Clothing_Pants	C9D903054281AC864858AC98B24DB9B8	1901643281	0x7158C611	missing_in_ko_gemini	경량 팬츠	轻游裤装		1003400952	missing_in_ko			translated	gemini-3.1-flash-lite-preview	4
