change_type	namespace	guid	row	old_source_hash	new_source_hash	old_text	new_text	current_zh_text	zh_diff_evidence
source_hash_replaced_same_key	/Game/Data/DataTables/CombatGrowth/BuffGrowth/DT_BuffGrowth_LongYa	04FD895749CBA79493B49482504AD3F0	213203_1	1807321034	698122423	<Skill_HL1>Furnace Mountain-Opener</> becomes a <Skill_HL2>Strong Flow Skill</>, and cooldown is reduced by <Skill_Number>3</> seconds.	<Skill_HL1>Furnace Fire Mountain Splitter</> becomes a <Skill_HL2>Flow Skill</>, and its cooldown is reduced by <Skill_Number>1</> second.	<Skill_HL1>炉火开山</>变为<Skill_HL2>强流技</>，冷却时间减少<Skill_Number>1</>秒	changed old=<Skill_HL1>炉火开山</>变为<Skill_HL2>强流技</>，冷却时间减少<Skill_Number>3</>秒 new=<Skill_HL1>炉火开山</>变为<Skill_HL2>强流技</>，冷却时间减少<Skill_Number>1</>秒
source_hash_replaced_same_key	/Game/Data/DataTables/CombatGrowth/SkillGrowth/DT_SkillGrowth_SSX	014C490F4A9CD2AF270F25BB734CEF70	260210_1	3446421086	1774047285	Enhanced E	Lotus Fire Bomb	莲火爆弹	changed old=强化E new=莲火爆弹
source_hash_replaced_same_key	/Game/Data/DataTables/CombatGrowth/SkillGrowth/DT_SkillGrowth_SSX	DE44719D4ED4041FAE3729B4D40B07F2	260300_1	401968600	4192715975	"In <Skill_HL1 ContentRow=""102604"">Lotus Bloom</> state, when <Skill_HL2 ContentRow=""102603"">Pressure</> is full, this skill is enhanced to Sky-Breaking Lotus. When Lotus shells are depleted, casting the third skill or a basic attack will trigger <Skill_HL1 ContentRow=""102605"">Thousand Gold Fury</>.
Fires a ballista and homing shells, dealing <IconCommonAttack></> Basic Attack damage. Up to <Skill_Number>3</> additional homing shells are triggered based on <Skill_HL2>Pressure</>. Exits <Skill_HL1>Lotus Bloom</> state after casting."	"When in the <Skill_HL1 ContentRow=""102604"">Red Lotus Bloom</> state, this skill is empowered into <Skill_HL1 ContentRow=""102605"">Thousand Gold Fury</> when <Skill_HL2 ContentRow=""102603"">Pressure</> is full. When <Skill_HL2 ContentRow=""102610"">Heavy Gold Shells</> are depleted, casting the third skill or a basic attack will trigger <Skill_HL1>Thousand Gold Fury</>.
Fires a ballista and tracking shells, dealing <IconCommonAttack></> basic attack damage to enemies. Up to <Skill_Number>3</> additional tracking shells are triggered based on <Skill_HL2>Pressure</>. Exits the <Skill_HL1>Red Lotus Bloom</> state after casting."	"<Skill_HL1 ContentRow=""102604"">红莲绽</>状态下，<Skill_HL2 ContentRow=""102603"">压力值</>满时该技能强化为<Skill_HL1 ContentRow=""102605"">千金一怒</>。<Skill_HL2 ContentRow=""102610"">千金重弹</>耗尽时，施放三技能或普攻均可施放<Skill_HL1>千金一怒</>。
发射弩炮与追踪炮弹，对敌人造成<IconCommonAttack></>普攻伤害，根据<Skill_HL2>压力值</>最多额外触发<Skill_Number>3</>枚追踪炮弹。施放后退出<Skill_HL1>红莲绽</>状态。"	"changed old=<Skill_HL1 ContentRow=""102604"">红莲绽</>状态下，<Skill_HL2 ContentRow=""102603"">压力值</>满时该技能强化为破穹红莲。红莲炮弹耗尽时，施放三技能或普攻均可施放<Skill_HL1 ContentRow=""102605"">千金一怒</>。\n发射弩炮与追踪炮弹，对敌人造成<IconCommonA… new=<Skill_HL1 ContentRow=""102604"">红莲绽</>状态下，<Skill_HL2 ContentRow=""102603"">压力值</>满时该技能强化为<Skill_HL1 ContentRow=""102605"">千金一怒</>。<Skill_HL2 ContentRow=""102610"">千金重弹</>耗尽时，施放三技能或普攻均可施放…"
source_hash_replaced_same_key	/Game/Data/DataTables/CommonTime/DT_CommonTimeTable	6768E8FD4A24FC39F093B9A9E83F6D8A	1226	3033317837	635260855	[Official][S1] 1.1W3 Mystic Drift Four-Week Availability (6.11-7.8)	[Official][S1] 1.1W3 Xuanqing Prize Pool End Date TBD (6.18-12.31)	[正式][S1]1.1W3玄清奖池不确定结束时间（6.18-12.31）	changed old=[正式][S1]1.1W3玄清四周上架时间（6.11-7.8） new=[正式][S1]1.1W3玄清奖池不确定结束时间（6.18-12.31）
source_hash_replaced_same_key	/Game/Data/DataTables/ItemSourceTracking/DT_ItemTrackingHandle_Lottery	AB873FF6456F06F7BC9A098269AD41CA	210501	3427931174	3661367712	Obtained via Shop	Spirit Encounter Acquisition	灵遇获取	changed old=商城获取 new=灵遇获取
source_hash_replaced_same_key	/Game/Data/DataTables/Loading/LoadingTips/DT_LoadingTips_Common	508D6AED4C5DA400EB0237833ADE506A	100050011	2805593028	3820216632	Go to the Shop to purchase with Xuan Crystal	Obtained via Profound Crystal Spirit Encounter	通过璇晶灵遇获取	changed old=前往商城使用璇晶购买 new=通过璇晶灵遇获取
source_hash_replaced_same_key	/Game/Data/DataTables/Lottery/LotteryPool/DT_LotteryPoolNew	5F8090C741B53CE42C838586DD0058F9	90001	979461821	1844650449	"Use <span color=""#FFE398"">Contract of Oblivion</> for Spirit Encounters. Each encounter consumes 1 <span color=""#FFE398"">Contract of Oblivion</> and has a chance to yield rare rewards.[br] [br]120 encounters guarantee all <span color=""#FFE398"">Gold-tier rewards</>. <span color=""#FFE398"">Gold-tier rewards</> cannot be obtained repeatedly.[br]10 encounters guarantee a <span color=""#COB3FF"">Purple-tier reward</> or higher; the counter resets upon obtaining one. Duplicate <span color=""#COB3FF"">Purple-tier rewards</> exceeding the holding limit will be converted into <span color=""#5EA8F3"">Remnant Contracts*40</>.[br] [br]Accumulate encounters to earn additional milestone rewards."	"Use <span color=""#FFE398"">Forget-Me-Not Contract</> for Spirit Encounters. Each encounter consumes 1 <span color=""#FFE398"">Forget-Me-Not Contract</> and has a chance to grant rare rewards.[br] [br]Performing <span color=""#FFE398"">40</> Spirit Encounters guarantees all <span color=""#FFE398"">Gold Quality Rewards</>, which cannot be obtained repeatedly.[br]Performing <span color=""#FFE398"">10</> Spirit Encounters guarantees a <span color=""#COB3FF"">Purple Quality Reward</>. The counter resets upon obtaining one. If you receive a <span color=""#COB3FF"">Purple Quality Reward</> that exceeds your holding limit, it will be converted into <span color=""#5EA8F3"">Contract Remnants*40</>.[br] [br]Accumulate a certain number of Spirit Encounters to receive additional milestone rewards."	"使用<span color=""#FFE398"">忘形之契</>进行灵遇，每次灵遇会消耗1个<span color=""#FFE398"">忘形之契</>，概率获得稀有奖励。[br] [br]灵遇<span color=""#FFE398"">40</>次必定获得全部<span color=""#FFE398"">金色品质奖励</>，<span color=""#FFE398"">金色品质奖励</>不可重复获取。[br]灵遇<span color=""#FFE398"">10</>次必定获得<span color=""#COB3FF"">紫色品质奖励</>，获得后次数重新累计。重复获得超过持有上限的<span color=""#COB3FF"">紫色品质奖励</>时，将会转化为<span color=""#5EA8F3"">残契*40</>。[br] [br]累计灵遇到一定次数时，可额外获得对应的灵遇次数奖励。"	"changed old=使用<span color=""#FFE398"">忘形之契</>进行灵遇，每次灵遇会消耗1个<span color=""#FFE398"">忘形之契</>，概率获得稀有奖励。[br] [br]灵遇<span color=""#FFE398"">120</>次必定获得全部<span color=""#FFE398"">金色品质奖励</>，<span color=""#FFE… new=使用<span color=""#FFE398"">忘形之契</>进行灵遇，每次灵遇会消耗1个<span color=""#FFE398"">忘形之契</>，概率获得稀有奖励。[br] [br]灵遇<span color=""#FFE398"">40</>次必定获得全部<span color=""#FFE398"">金色品质奖励</>，<span color=""#FFE3…"
source_hash_replaced_same_key	/Game/Data/DataTables/NewbieGuide/NewbieGuideTemplate/DT_NewbieGuideTemplateLink_SSX	1CA878344FF81E261D436F97E14EBA51	1026001020	1857575250	4099455354	When the Pressure Value is full or Red Lotus shells are depleted, press {0} to cast <ffe398>A Thousand Gold Fury</> (when shells are depleted, basic attacks can also trigger <ffe398>A Thousand Gold Fury</>).	Press {0} when Pressure is full or Heavy Gold Shells are depleted to cast <ffe398>Thousand Gold Fury</> (when shells are depleted, basic attacks can also cast <ffe398>Thousand Gold Fury</>).	压力值满或千金重弹耗尽时按下{0}施放<ffe398>千金一怒</>（炮弹耗尽时，普攻也可施放<ffe398>千金一怒</>）。	changed old=压力值满或红莲炮弹耗尽时按下{0}施放<ffe398>千金一怒</>（炮弹耗尽时，普攻也可施放<ffe398>千金一怒</>）。 new=压力值满或千金重弹耗尽时按下{0}施放<ffe398>千金一怒</>（炮弹耗尽时，普攻也可施放<ffe398>千金一怒</>）。
source_hash_replaced_same_key	/Game/Data/DataTables/NewbieGuide/NewbieGuideTemplate/DT_NewbieGuideTemplateLink_SSX	29DF57CF420E0745E78CE18829B4436E	1026001031	3358026731	1911896634	Fires <ffe398>Lotus Shells</> to gain Pressure.[br]When shells are depleted, cast <ffe398>Skill 3: Thousand Gold Fury</>.	Fire <ffe398>Heavy Gold Shells</> to gain Pressure.[br]When shells are depleted, cast <ffe398>Skill 3: Thousand Gold Fury</>.	发射<ffe398>千金重弹</>，获得压力值。[br]炮弹耗尽时，施放<ffe398>三技能千金一怒</>。	changed old=发射<ffe398>红莲炮弹</>，获得压力值。[br]炮弹耗尽时，施放<ffe398>三技能千金一怒</>。 new=发射<ffe398>千金重弹</>，获得压力值。[br]炮弹耗尽时，施放<ffe398>三技能千金一怒</>。
source_hash_replaced_same_key	/Game/Data/DataTables/NewbieGuide/NewbieGuideTemplate/DT_NewbieGuideTemplateLink_SSX	6872C82D42920697C966DB8159BD6D35	1026001020	1019378683	2058346562	When the Pressure Value is full or Red Lotus shells are depleted, press to cast <ffe398>A Thousand Gold Fury</> (when shells are depleted, basic attacks can also trigger <ffe398>A Thousand Gold Fury</>).	Press to cast <ffe398>Thousand Gold Fury</> when Pressure is full or Heavy Gold Shells are depleted (when shells are depleted, basic attacks can also cast <ffe398>Thousand Gold Fury</>).	压力值满或千金重弹耗尽时按下施放<ffe398>千金一怒</>（炮弹耗尽时，普攻也可施放<ffe398>千金一怒</>）。	changed old=压力值满或红莲炮弹耗尽时按下施放<ffe398>千金一怒</>（炮弹耗尽时，普攻也可施放<ffe398>千金一怒</>）。 new=压力值满或千金重弹耗尽时按下施放<ffe398>千金一怒</>（炮弹耗尽时，普攻也可施放<ffe398>千金一怒</>）。
source_hash_replaced_same_key	/Game/Data/DataTables/NewbieGuide/NewbieGuideTemplate/DT_NewbieGuideTemplateLink_SSX	73D7DD7F48B990E08A7655B023F0B3C6	1026001020	1857575250	4099455354	When the Pressure Value is full or Red Lotus shells are depleted, press {0} to cast <ffe398>A Thousand Gold Fury</> (when shells are depleted, basic attacks can also trigger <ffe398>A Thousand Gold Fury</>).	Press {0} when Pressure is full or Heavy Gold Shells are depleted to cast <ffe398>Thousand Gold Fury</> (when shells are depleted, basic attacks can also cast <ffe398>Thousand Gold Fury</>).	压力值满或千金重弹耗尽时按下{0}施放<ffe398>千金一怒</>（炮弹耗尽时，普攻也可施放<ffe398>千金一怒</>）。	changed old=压力值满或红莲炮弹耗尽时按下{0}施放<ffe398>千金一怒</>（炮弹耗尽时，普攻也可施放<ffe398>千金一怒</>）。 new=压力值满或千金重弹耗尽时按下{0}施放<ffe398>千金一怒</>（炮弹耗尽时，普攻也可施放<ffe398>千金一怒</>）。
source_hash_replaced_same_key	/Game/Data/DataTables/NewbieGuide/NewbieGuideTemplate/DT_NewbieGuideTemplateLink_SSX	7507F5144C4C318D5F310DAEC03AABBD	1026001020	1019378683	2058346562	When the Pressure Value is full or Red Lotus shells are depleted, press to cast <ffe398>A Thousand Gold Fury</> (when shells are depleted, basic attacks can also trigger <ffe398>A Thousand Gold Fury</>).	Press to cast <ffe398>Thousand Gold Fury</> when Pressure is full or Heavy Gold Shells are depleted (when shells are depleted, basic attacks can also cast <ffe398>Thousand Gold Fury</>).	压力值满或千金重弹耗尽时按下施放<ffe398>千金一怒</>（炮弹耗尽时，普攻也可施放<ffe398>千金一怒</>）。	changed old=压力值满或红莲炮弹耗尽时按下施放<ffe398>千金一怒</>（炮弹耗尽时，普攻也可施放<ffe398>千金一怒</>）。 new=压力值满或千金重弹耗尽时按下施放<ffe398>千金一怒</>（炮弹耗尽时，普攻也可施放<ffe398>千金一怒</>）。
source_hash_replaced_same_key	/Game/Data/DataTables/NewbieGuide/NewbieGuideTemplate/DT_NewbieGuideTemplateLink_SSX	9826B4C748764B7D81D890B4353DD2E0	1026001031	3358026731	1911896634	Fires <ffe398>Lotus Shells</> to gain Pressure.[br]When shells are depleted, cast <ffe398>Skill 3: Thousand Gold Fury</>.	Fire <ffe398>Heavy Gold Shells</> to gain Pressure.[br]When shells are depleted, cast <ffe398>Skill 3: Thousand Gold Fury</>.	发射<ffe398>千金重弹</>，获得压力值。[br]炮弹耗尽时，施放<ffe398>三技能千金一怒</>。	changed old=发射<ffe398>红莲炮弹</>，获得压力值。[br]炮弹耗尽时，施放<ffe398>三技能千金一怒</>。 new=发射<ffe398>千金重弹</>，获得压力值。[br]炮弹耗尽时，施放<ffe398>三技能千金一怒</>。
source_hash_replaced_same_key	/Game/Data/DataTables/NewbieGuide/NewbieGuideTemplate/DT_NewbieGuideTemplateLink_SSX	99E590694B6DCF2294CBBBB43B46BBBE	1026001031	3358026731	1911896634	Fires <ffe398>Lotus Shells</> to gain Pressure.[br]When shells are depleted, cast <ffe398>Skill 3: Thousand Gold Fury</>.	Fire <ffe398>Heavy Gold Shells</> to gain Pressure.[br]When shells are depleted, cast <ffe398>Skill 3: Thousand Gold Fury</>.	发射<ffe398>千金重弹</>，获得压力值。[br]炮弹耗尽时，施放<ffe398>三技能千金一怒</>。	changed old=发射<ffe398>红莲炮弹</>，获得压力值。[br]炮弹耗尽时，施放<ffe398>三技能千金一怒</>。 new=发射<ffe398>千金重弹</>，获得压力值。[br]炮弹耗尽时，施放<ffe398>三技能千金一怒</>。
source_hash_replaced_same_key	/Game/Data/DataTables/NewbieGuide/NewbieGuideTemplate/DT_NewbieGuideTemplateLink_SSX	F801689648810062ADB86486329CA946	1026001031	3358026731	1911896634	Fires <ffe398>Lotus Shells</> to gain Pressure.[br]When shells are depleted, cast <ffe398>Skill 3: Thousand Gold Fury</>.	Fire <ffe398>Heavy Gold Shells</> to gain Pressure.[br]When shells are depleted, cast <ffe398>Skill 3: Thousand Gold Fury</>.	发射<ffe398>千金重弹</>，获得压力值。[br]炮弹耗尽时，施放<ffe398>三技能千金一怒</>。	changed old=发射<ffe398>红莲炮弹</>，获得压力值。[br]炮弹耗尽时，施放<ffe398>三技能千金一怒</>。 new=发射<ffe398>千金重弹</>，获得压力值。[br]炮弹耗尽时，施放<ffe398>三技能千金一怒</>。
source_hash_replaced_same_key	/Game/Data/DataTables/QuestTable/DT_MainQuestRescueBuffVoice	051978EA4DDA546630A009B83C7050A3	5	2173605658	1030445544	Go for it, show your true strength.	Come on, show them your true strength.[br]You've received the power of a friend. Go turn the tide!	加油，展示你的真正实力。[br]你获得了好友的力量，去将局势逆转吧！	changed old=加油，展示你的真正实力。 new=加油，展示你的真正实力。[br]你获得了好友的力量，去将局势逆转吧！
source_hash_replaced_same_key	/Game/Data/DataTables/QuestTable/DT_MainQuestRescueBuffVoice	14C7BE434A10BD69BA8D77965187C397	10	2870412716	1473273717	Go for it, you're strong.	Go for it, you're strong.[br]You've received the power of a friend. Go turn the tide!	放手去做，你很强。[br]你获得了好友的力量，去将局势逆转吧！	changed old=放手去做，你很强。 new=放手去做，你很强。[br]你获得了好友的力量，去将局势逆转吧！
source_hash_replaced_same_key	/Game/Data/DataTables/QuestTable/DT_MainQuestRescueBuffVoice	582EBC2F4EBDF7C92653C1BE72CF6ED6	2	3539910057	3879159623	Go for it, we've got this win.	Keep it up, we've got this win.[br]You've received the power of a friend. Go turn the tide!	加油，这次我们稳赢。[br]你获得了好友的力量，去将局势逆转吧！	changed old=加油，这次我们稳赢。 new=加油，这次我们稳赢。[br]你获得了好友的力量，去将局势逆转吧！
source_hash_replaced_same_key	/Game/Data/DataTables/QuestTable/DT_MainQuestRescueBuffVoice	5E91907048FD2ECB6E506492C3C3416C	1	3261863611	4258652985	Stay steady, we can win this!	Stay steady, we can win this![br]You've received the power of a friend. Go turn the tide!	稳住，我们能赢！[br]你获得了好友的力量，去将局势逆转吧！	changed old=稳住，我们能赢！ new=稳住，我们能赢！[br]你获得了好友的力量，去将局势逆转吧！
source_hash_replaced_same_key	/Game/Data/DataTables/QuestTable/DT_MainQuestRescueBuffVoice	9E241CEB49CE636D8EC23AB9AD504D96	9	4166398371	1596044474	Believe in yourself; I've got your back this time.	Believe in yourself, I've got your back.[br]You've received the power of a friend. Go turn the tide!	相信你自己，这次背后有我。[br]你获得了好友的力量，去将局势逆转吧！	changed old=相信你自己，这次背后有我。 new=相信你自己，这次背后有我。[br]你获得了好友的力量，去将局势逆转吧！
source_hash_replaced_same_key	/Game/Data/DataTables/QuestTable/DT_MainQuestRescueBuffVoice	B795242E4210AAA80F37C0889C56EA42	8	1189138154	3303209426	Hold on, I'm with you.	Hold on, I'm with you.[br]You've received the power of a friend. Go turn the tide!	撑住，我陪你。[br]你获得了好友的力量，去将局势逆转吧！	changed old=撑住，我陪你。 new=撑住，我陪你。[br]你获得了好友的力量，去将局势逆转吧！
source_hash_replaced_same_key	/Game/Data/DataTables/QuestTable/DT_MainQuestRescueBuffVoice	C2465B89424242A352A126A437A4D08B	4	640478999	1176953629	I'll assist you.	I'm here to help.[br]You've received the power of a friend. Go turn the tide!	我来助你。[br]你获得了好友的力量，去将局势逆转吧！	changed old=我来助你。 new=我来助你。[br]你获得了好友的力量，去将局势逆转吧！
